City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,santangpu,27.3987,111.9928,25.76,89,100,4.28,CN,1689650307
83,ola,59.5833,151.2833,16.19,82,31,3.87,RU,1689650307
84,totness,5.8833,-56.3167,26.54,82,52,5.03,SR,1689650308
85,inverloch,-38.6333,145.7167,10.25,84,85,10.63,AU,1689650308
86,papatowai,-46.5619,169.4708,10.8,83,100,6.29,NZ,1689650308
87,springbok,-29.6643,17.8865,10.37,46,0,0.91,ZA,1689650308
88,puerto baquerizo moreno,-0.9,-89.6,24.96,81,100,5.55,EC,1689650308
89,avarua,-21.2078,-159.775,20.03,100,75,0.51,CK,1689650308
90,sawai madhopur,25.9833,76.3667,30.17,65,98,2.91,IN,1689650309
91,sao bernardo,-3.3614,-42.4178,23.09,92,72,1.73,BR,1689650309
92,sault ste. marie,46.5168,-84.3333,13.9,86,100,3.09,CA,1689650132
93,borogontsy,62.6683,131.1683,21.86,68,89,4.17,RU,1689650309
94,longyearbyen,78.2186,15.6401,8.91,61,0,6.69,SJ,1689650309
95,colonia,50.9333,6.95,13.87,83,0,1.54,DE,1689649843
96,puerto ayora,-0.7393,-90.3518,25.31,94,75,4.02,EC,1689650310
97,puerto aysen,-45.4,-72.7,-5.49,96,38,0.37,CL,1689650310
98,necochea,-38.5473,-58.7368,4.83,68,95,4.84,AR,1689650310
99,macae,-22.3708,-41.7869,20.86,94,100,0.51,BR,1689650310
100,jiuquan,39.7432,98.5174,32.79,14,0,4.1,CN,1689650310
101,minas de marcona,-15.2119,-75.1103,12.31,87,74,5.45,PE,1689650311
102,puerto ayacucho,5.6639,-67.6236,24.41,90,68,1.32,VE,1689650311
103,banda aceh,5.5577,95.3222,29.8,67,95,6.38,ID,1689650312
104,egilsstadir,65.2653,-14.3948,7.95,71,75,4.12,IS,1689650312
105,seneca falls,42.9106,-76.7966,25.12,95,100,1.62,US,1689650312
106,ancud,-41.8697,-73.8203,2.07,83,2,3.03,CL,1689650312
107,ushuaia,-54.8,-68.3,1.81,69,0,3.6,AR,1689650312
108,anadyr,64.75,177.4833,26.28,41,20,3.0,RU,1689650312
109,lisala,2.15,21.5167,23.65,73,97,0.95,CD,1689650312
110,dudinka,69.4058,86.1778,15.24,90,100,6.12,RU,1689650313
111,tutayev,57.8853,39.5406,17.36,73,87,1.71,RU,1689650110
112,panjab,34.388,67.0233,16.78,28,0,2.86,AF,1689650313
113,mejit,10.2753,170.8646,28.15,73,42,6.9,MH,1689650313
114,noumea,-22.2763,166.4572,22.99,67,69,6.82,NC,1689649817
